aar,yrke_grovgruppe,yrke_fingruppe,yrkeskode,yrke,yrkesbetegnelse,isco_versjon,antall_arbeidssokere
2002,"Helse, pleie og omsorg",Annet helsepersonell,5137,Apotekteknikere,Apotektekniker,ISCO-88,104
2002,"Helse, pleie og omsorg",Omsorgs- og pleiearbeidere,5139,Annet pleie- og omsorgspersonale,"Aktivitør, Ambulansesjåfør, Lærling (aktivitør), Lærling (ambulansesjåfør), Pleieassistent, Portør, Støttekontakt",ISCO-88,3678
2002,Serviceyrker og annet arbeid,Velvære,5141,"Frisører, kosmetologer o.l.","Fotterapeut, Frisør, Hudpleier, Kosmetolog, Kroppskunstner, Lærling (damefrisør), Lærling (herrefrisør), Sminkør",ISCO-88,495
2002,Serviceyrker og annet arbeid,Annet arbeid,5142,Begravelsesbyrå- og krematoriearbeidere,Gravferdskonsulent,ISCO-88,8
2002,Kontorarbeid,Resepsjonister og sentralbordoperatører,5143,"Slankeverter, solstudioverter o.l.","Bowlingvert, Slankevert, Solstudiovert/-vertinne, Solvert/-vertinne",ISCO-88,16
2002,Serviceyrker og annet arbeid,Annet arbeid,5149,Andre yrker innen personlig tjenesteyting,"Aktivitetsleder, Discjockey",ISCO-88,55
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",5161,Brannkonstabler o.l.,"Alarmoperatør, Bilberger, Brannkonstabel",ISCO-88,53
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",5162,Fengselsbetjenter,"Arrestforvarer, Fengselsbetjent",ISCO-88,50
2002,Serviceyrker og annet arbeid,Vakthold og vaktmestere,5163,Vaktmestere o.l.,"Driftsoperatør (idrettsanlegg), Fyrbetjent, Kirketjener, Lærling (driftsoperatør idrettsanlegg), Vaktmester",ISCO-88,1038
2002,Serviceyrker og annet arbeid,Vakthold og vaktmestere,5164,Vektere o.l.,"Lærling (vekter), Vekter",ISCO-88,391
2002,Serviceyrker og annet arbeid,Vakthold og vaktmestere,5169,Annet sikkerhetspersonale,Badebetjent,ISCO-88,55
2002,Serviceyrker og annet arbeid,"Yrker innen kunst, sport og kultur",5210,Mannekenger og andre modeller,Modell,ISCO-88,9
2002,Butikk- og salgsarbeid,Butikkarbeid,5221,Butikkmedarbeidere o.l.,"Bilselger, Bokhandler, Butikkmedarbeider, Butikkmedarbeidere o.l., Lærling (butikkfaget), Lærling (fagekspeditør byggevarer), Lærling (reservedelsekspeditør)",ISCO-88,9023
2002,Industriarbeid,Andre håndverkere,5222,Blomsterdekoratører,"Blomsterdekoratør, Lærling (blomsterdekoratør)",ISCO-88,106
2002,Butikk- og salgsarbeid,Butikkarbeid,5223,Selger (detalj),"Provisjonsselger (detalj), Salgssjåfør (detalj), Selger (detalj)",ISCO-88,1621
2002,Butikk- og salgsarbeid,Annet salgsarbeid,5224,Selgere (engros),"Provisjonsselger (engros), Salgssjåfør (engros), Selger (engros)",ISCO-88,587
2002,Kontorarbeid,Andre funksjonærer,5225,Intervjuere,Intervjuer,ISCO-88,121
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6101,Gårdbrukere m.fl.,"Gårdbruker, Gårdsarbeider, Reingjeter, Semintekniker, Stallmester",ISCO-88,841
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6102,Gartneriarbeidere,"Gartner, Lærling (gartner)",ISCO-88,358
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6210,Skogsarbeidere o.l.,"Lærling (skogsarbeider), Lærling (skogsmaskinfører), Skogsarbeider",ISCO-88,138
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6310,Fiskeoppdrettere,"Fiskeoppdretter, Lærling (fagarbeider akvakultur)",ISCO-88,251
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6411,Fiskere,"Fisker, Fiskeskipper, Lineegner, Lærling (fisker)",ISCO-88,538
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",6412,Fangstfolk,*,ISCO-88,*
2002,Industriarbeid,Andre håndverkere,7110,Steinfagarbeidere,"Lærling (steinfagarbeider), Steinfagarbeider",ISCO-88,55
2002,Bygg og anlegg,Andre bygningsarbeidere,7121,Murere m.fl.,"Gipsmaker, Lærling (gipsmaker), Lærling (murer), Murer",ISCO-88,260
2002,Bygg og anlegg,Andre bygningsarbeidere,7122,Betong- og grunnarbeidere (bygg),"Betong- og grunnarbeider, Lærling (betongarbeider)",ISCO-88,247
2002,Bygg og anlegg,Andre bygningsarbeidere,7123,Jernbindere,"Jernbinder, Lærling (jernbinder)",ISCO-88,55
2002,Bygg og anlegg,Andre bygningsarbeidere,7124,Forskalingssnekkere,"Forskalingssnekker, Lærling (forskalingssnekker)",ISCO-88,160
2002,Bygg og anlegg,Snekkere og tømrere,7125,Tømrere,"Fagoperatør (industriell trehusproduksjon), Lærling (fagoperatør industriell trehusproduksjon), Lærling (tømrer), Tømrer",ISCO-88,835
2002,Bygg og anlegg,Andre bygningsarbeidere,7126,Vei- og anleggsarbeidere,"Asfaltlegger, Banemontør, Brønnborer, Diamantborer, Lærling (asfaltarbeider), Lærling (banemontør), Lærling (veg- og anleggsarbeider), Veg- og anleggsarbeider",ISCO-88,357
2002,Bygg og anlegg,Anleggsarbeidere,7127,"Tunell- og fjellarbeidere, sprengningsarbeidere o.l.",Tunnel- og fjellarbeider,ISCO-88,61
2002,Bygg og anlegg,Andre bygningsarbeidere,7128,Stillasbyggere,"Lærling (stillasbygger), Stillasbygger",ISCO-88,241
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",7129,Anleggsgartnere,"Anleggsgartner, Lærling (anleggsgartner)",ISCO-88,161
2002,Bygg og anlegg,Andre bygningsarbeidere,7131,Taktekkere,"Lærling (taktekker), Taktekker",ISCO-88,84
