nord;oest;breddegrad;lengdegrad;adresse;barnehagens_navn
6533106.00;311579.00;58.896244;5.729378;Ulsbergbakken 65;Ulsberget Barnehage
6544033.91;311671.35;58.994281;5.721530;Colin Archers Vei 8;Ulsnes Barnehage SA
6535624.00;311299.00;58.918752;5.722394;Sara Berges gate 15;Vågedalen barnehage
6543790.00;312546.00;58.992443;5.737107;Øvre Vågen 11;Vågen barnehage
6539934.56;311924.10;58.957624;5.729571;Jørden Moes gate 9;Vålandshaugen barnehage
6540078.20;313214.20;58.959211;5.751855;Egersundsgata 13;Varden Barnehage
6544149.00;315339.00;58.921499;5.723464;Sørstrandveien 40A;Vassøy barnehage
6535933.00;311376.00;58.921511;5.721291;Boganesveien 7;Villrosen Steinerbarnehage
6543725.00;309060.00;58.990341;5.676605;Ulaveien 7;Ytre Tasta barnehage avd. Eskeland
6544251.00;309404.00;58.995205;5.682125;Gamle Dusevikveien 6;Ytre tasta barnehage avd. Vardeneset
