tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
22571,25508,73,Skjervøy folkebibliotek,Skjervøy folkebibliotek,Skjervøy  Public Library,,
22573,25344,73,Storfjord folkebibliotek,Storfjord folkebibliotek,Storfjord  Public Library,,
22574,25366,73,Sørreisa folkebibliotek,Sørreisa folkebibliotek,Sørreisa  Public Library,,
22575,25321,73,Torsken folkebibliotek,Torsken folkebibliotek,Torsken  Public Library,,
25313,,66,Tingvoll kommune,Tingvoll kommune,Tingvoll Municipality,964981515,1560
25314,,66,Tinn kommune,Tinn kommune,Tinn Municipality,864963552,0826
25315,,66,Tjeldsund kommune,Tjeldsund kommune,Tjeldsund Municipality,959469237,1852
25316,,66,Tjøme kommune,Tjøme kommune,Tjøme Municipality,964952345,0723
25317,,66,Tokke kommune,Tokke kommune,Tokke Municipality,964964521,0833
25318,26375,76,"Ambassaden i Japan, Tokyo","Ambassaden i Japan, Tokyo",Royal Norwegian Embassy in Japan,,
25319,,66,Tolga kommune,Tolga kommune,Tolga Municipality,940192404,0436
25321,,66,Torsken kommune,Torsken kommune,Torsken Municipality,939900993,1928
26608,26888,38,Riksadvokaten,Riksadvokaten,Director of Public Prosecutions,971524758,
26016,29872,39,Helgeland politidistrikt,Helgeland politidistrikt,Helgeland Police District,983999832,
26017,25703,73,Helse- og sosialombudet i Oslo,Helse- og sosialombodet i Oslo,Ombudsman for health and social services in Oslo,984372140,
26018,26375,76,"Ambassaden i Finland, Helsinki","Ambassaden i Finland, Helsinki",Royal Norwegian Embassy in Finland,,
26019,,66,Hemne kommune,Hemne kommune,Hemne Municipality,940158893,1612
26020,,66,Hemnes kommune,Hemnes kommune,Hemnes Municipality,846316442,1832
26021,,66,Hemsedal kommune,Hemsedal kommune,Hemsedal Municipality,964952701,0618
26022,,66,Granvin herad,Granvin herad,Granvin Municipality,844162502,1234
26023,,66,Gratangen kommune,Gratangen kommune,Gratangen Municipality,959469415,1919
26024,,66,Grimstad kommune,Grimstad kommune,Grimstad Municipality,864964702,0904
26026,,66,Grong kommune,Grong kommune,Grong Municipality,940010853,1742
26027,,66,Grue kommune,Grue kommune,Grue Municipality,964948143,0423
