aar,yrkekode,yrke,ostfold,akershus,oslo,hedmark,oppland,buskerud,vestfold,telemark,aust_agder,vest_agder,rogaland,hordaland,sogn_fjordane,more_og_romsdal,trondelag,nordland,troms,finnmark,norge
2017,7421,Serviceelektronikere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7422,Tele- og IKT-installatører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,7512,"Bakere, konditorer mv.",0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,50
2017,7542,Skytebaser og sprengningsarbeidere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8111,Bergfagarbeidere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8142,Operatører innen plastprodukter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8160,Operatører innen næringsmiddelproduksjon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8171,Operatører innen treforedling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8189,Andre stasjonære maskinoperatører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,8211,Montører av mekaniske produkter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50
2017,8219,Andre montører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50
2017,9129,Andre rengjørere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,9312,Hjelpearbeidere i anlegg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,9313,Hjelpearbeidere i bygg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,9612,Gjenvinningsarbeidere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
