"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"tilgang_poeng";"tilgang_maxpoeng";"brukertilpass_poeng";"brukertilpass_maxpoeng";"nyttig_poeng";"nyttig_maxpoeng"
"18216";"04/21/2013 17:24:55";"Fauske kommune";"http://www.fauske.kommune.no/";"56";"100";"56";"3";"19";"36";"17";"29";"20";"35"
"18269";"04/23/2013 14:57:37";"Fedje kommune";"http://www.fedje.kommune.no/";"53";"100";"53";"3";"22";"36";"15";"29";"16";"35"
"18236";"04/22/2013 08:01:53";"Fet kommune";"http://www.fet.kommune.no/";"54";"100";"54";"3";"17";"36";"14";"29";"23";"35"
"18975";"06/14/2013 22:14:09";"Finansdepartementet";"http://www.regjeringen.no/nb/dep/fin.html";"71";"100";"71";"5";"25";"36";"27";"29";"19";"35"
"18739";"05/27/2013 14:01:29";"Finanstilsynet";"http://www.finanstilsynet.no/";"68";"100";"68";"4";"22";"36";"24";"29";"22";"35"
"18747";"05/28/2013 20:28:43";"Finnmark fylkeskommune / Finnmárkku fylkkagielda";"http://www.ffk.no/";"69";"100";"69";"4";"26";"36";"23";"29";"20";"35"
"18249";"04/22/2013 10:44:45";"Finnøy kommune";"http://www.finnoy.kommune.no";"45";"100";"45";"3";"15";"36";"12";"29";"18";"35"
"18983";"06/16/2013 22:55:30";"Fiskeri- og kystdepartementet";"http://www.regjeringen.no/nb/dep/fkd";"69";"100";"69";"4";"25";"36";"26";"29";"18";"35"
"18861";"06/06/2013 17:52:33";"Fiskeridirektoratet";"http://www.fiskeridir.no/";"74";"100";"74";"5";"24";"36";"23";"29";"27";"35"
"18251";"04/22/2013 12:40:48";"Fitjar kommune";"http://www.fitjar.kommune.no";"45";"100";"45";"3";"13";"36";"12";"29";"20";"35"
"18055";"04/10/2013 12:33:56";"Fjaler kommune";"http://www.fjaler.kommune.no/";"80";"100";"80";"6";"28";"36";"22";"29";"30";"35"
"18252";"04/22/2013 13:47:38";"Fjell kommune";"http://www.fjell.kommune.no";"72";"100";"72";"5";"25";"36";"25";"29";"22";"35"
"18220";"04/21/2013 18:24:15";"Flakstad kommune";"http://www.flakstad.kommune.no/";"18";"100";"18";"1";"8";"36";"7";"29";"3";"35"
"18253";"04/22/2013 14:37:10";"Flatanger kommune";"http://www.flatanger.kommune.no";"49";"100";"49";"3";"19";"36";"16";"29";"14";"35"
"17916";"03/30/2013 20:28:38";"Flekkefjord kommune";"http://www.flekkefjord.kommune.no";"35";"100";"35";"2";"8";"36";"14";"29";"13";"35"
"18169";"04/19/2013 10:11:04";"Flesberg kommune";"http://www.flesberg.kommune.no/";"54";"100";"54";"3";"23";"36";"16";"29";"15";"35"
"18698";"05/25/2013 16:08:42";"Flora kommune";"http://www.flora.kommune.no";"80";"100";"80";"6";"32";"36";"24";"29";"24";"35"
"17893";"03/25/2013 16:30:05";"Flå kommune";"http://www.flaa.kommune.no/";"56";"100";"56";"3";"21";"36";"18";"29";"17";"35"
"17655";"03/12/2013 12:01:39";"Folldal kommune";"http://www.folldal.kommune.no/";"43";"100";"43";"3";"18";"36";"17";"29";"8";"35"
"18256";"04/23/2013 08:16:57";"Forbrukerombudet";"http://www.forbrukerombudet.no/";"65";"100";"65";"4";"20";"36";"19";"29";"26";"35"
"18862";"06/06/2013 22:09:32";"Forbrukerrådet";"http://www.forbrukerradet.no";"60";"100";"60";"4";"24";"36";"20";"29";"16";"35"
"18872";"06/07/2013 07:13:53";"Forbrukertvistutvalget";"http://www.forbrukertvistutvalget.no/";"59";"100";"59";"4";"17";"36";"17";"29";"25";"35"
"18873";"06/07/2013 08:19:12";"Forliksrådet";"http://www.forliksradet.no/";"35";"100";"35";"2";"16";"36";"10";"29";"9";"35"
"18984";"06/16/2013 22:55:36";"Fornyings-, administrasjons- og kirkedepartementet";"http://www.regjeringen.no/nb/dep/fad";"75";"100";"75";"5";"26";"36";"27";"29";"22";"35"
"18756";"05/29/2013 07:53:30";"Forsand kommune";"http://www.forsand.kommune.no";"72";"100";"72";"5";"25";"36";"27";"29";"20";"35"
"18874";"06/07/2013 09:22:32";"Forskning.no";"http://www.forskning.no";"61";"100";"61";"4";"12";"36";"18";"29";"31";"35"
"18876";"06/07/2013 16:41:02";"Forskningsetiske komiteer";"http://www.etikkom.no";"75";"100";"75";"5";"26";"36";"24";"29";"25";"35"
"18856";"06/06/2013 10:27:31";"Forsvaret";"http://www.forsvaret.no";"69";"100";"69";"4";"22";"36";"25";"29";"22";"35"
"18952";"06/14/2013 07:23:48";"Forsvarets forskningsinstitutt";"http://www.ffi.no";"43";"100";"43";"3";"10";"36";"18";"29";"15";"35"
"18985";"06/16/2013 22:55:41";"Forsvarsdepartementet";"http://www.regjeringen.no/nb/dep/fd";"71";"100";"71";"5";"27";"36";"27";"29";"17";"35"
"18257";"04/23/2013 09:32:57";"Fosnes kommune";"http://www.fosnes.kommune.no/";"52";"100";"52";"3";"23";"36";"19";"29";"10";"35"
"18266";"04/23/2013 12:39:33";"Fredrikstad kommune";"http://www.fredrikstad.kommune.no/";"69";"100";"69";"4";"22";"36";"22";"29";"25";"35"
"18267";"04/23/2013 13:28:08";"Fritt sykehusvalg";"http://www.frittsykehusvalg.no/";"67";"100";"67";"4";"23";"36";"18";"29";"26";"35"
"18268";"04/23/2013 14:21:27";"Frogn kommune";"http://www.frogn.kommune.no/";"76";"100";"76";"5";"22";"36";"25";"29";"29";"35"
"18276";"04/24/2013 08:26:21";"Froland kommune";"http://www.froland.kommune.no/";"69";"100";"69";"4";"25";"36";"22";"29";"22";"35"
"17895";"03/27/2013 15:42:27";"Frosta kommune";"http://www.frosta.kommune.no/";"59";"100";"59";"4";"18";"36";"14";"29";"27";"35"
"18229";"04/21/2013 19:33:51";"Fræna kommune";"http://www.frana.kommune.no";"70";"100";"70";"5";"27";"36";"19";"29";"24";"35"
"18277";"04/24/2013 09:35:16";"Frøya kommune";"http://www.froya.kommune.no/";"37";"100";"37";"2";"15";"36";"12";"29";"10";"35"
"18286";"04/24/2013 10:51:21";"Fusa kommune";"http://www.fusa.kommune.no/";"55";"100";"55";"3";"22";"36";"14";"29";"19";"35"
