tailid;address1;address2;address3;address4;postalcode;city;country
28521;"Bogstadveien 27 B";;;;0355;Oslo;Norge
28522;"Postboks 266";;;;4663;Kristiansand;Norge
28535;"Postboks 9095 Grønland";;;;0133;Oslo;Norge
28537;"Postboks 318";;;;4663;Kristiansand;Norge
28538;"Postboks 53, Birkebeinersenteret";;;;5831;Bergen;Norge
28539;"Postboks 2622 Sentrum";;;;7414;Trondheim;Norge
28540;"Postboks 217";;;;9482;Harstad;Norge
28541;"European Court of Human Rights";"Council of Europe";;;6707;"5 Strasbourg Cedex, France";Norge
30753;"Postboks 80";;;;6821;Sandane;Norge
30754;"Postboks 43";;;;3551;Gol;Norge
30755;"Rådhusvegen 39";;;;2770;Jaren;Norge
30756;"Postboks 3";;;;8681;Trofors;Norge
30757;"Postboks 100";;;;5701;Voss;Norge
30758;;;;;9350;Sjøvegan;Norge
30759;"Postboks 24";;;;4891;Grimstad;Norge
30761;"Postboks 43";;;;2261;Kirkenær;Norge
30762;;;;;5966;Eivindvik;Norge
30763;;;;;8455;Stokmarknes;Norge
30764;"Postboks 396";;;;1753;Halden;Norge
30765;;;;;6683;Vågland;Norge
30766;"Storgata 35";;;;2335;Stange;Norge
30767;"Postboks 4";;;;8298;Hamarøy;Norge
30768;"Boks 330";;;;9615;Hammerfest;Norge
30769;"Postboks 4";;;;6283;Brattvåg;Norge
30770;"Postboks 505";;;;6067;Ulsteinvik;Norge
30771;;;;;9480;Harstad;Norge
30772;"Boks 94";;;;9590;Hasvik;Norge
30773;"Postboks 3";;;;8681;Trofors;Norge
30774;"Postboks 278";;;;5501;Haugesund;Norge
30775;;;;;7200;Kyrksæterøra;Norge
30776;"Postboks 53";;;;8641;Hemnesberget;Norge
30777;"Postboks 43";;;;3551;Gol;Norge
30779;"Postboks 54";;;;8850;Herøy;Norge
30780;"Postboks 10";;;;7239;Hitra;Norge
30781;"Postboks 47";;;;3701;Skien;Norge
30782;;;;;4130;Hjelmeland;Norge
30783;"Postboks 200";;;;1801;Askim;Norge
30784;"Postboks 64";;;;5575;Aksdal;Norge
30785;"Postboks 2073";;;;3103;Tønsberg;Norge
30786;"Postboks 203";;;;3580;Geilo;Norge
30787;"Postboks 505 Sentrum";;;;3504;Hønefoss;Norge
30788;"Postboks 2073";;;;3103;Tønsberg;Norge
30789;;;;;7380;Ålen;Norge
30790;"Postboks 175";;;;6781;Stryn;Norge
30791;"Postboks 83";;;;2081;Eidsvoll;Norge
30792;"Postboks 1087";;;;3007;Drammen;Norge
30793;"Julsebakken 1";;;;1680;Skjærhalden;Norge
36282;"Jushjelpa v/HIST avd. Teknologi";;;;7400;Trondheim;Norge
30795;;;;;6957;Hyllestad;Norge
30796;;;;;4595;Tingvatn;Norge
34963;"v. sekretariatet Klima- og forurensningsdirektoratet";"Postboks 8100 Dep.";;;0032;Oslo;Norge
39122;;;;;5788;Kinsarvik;Norge
39362;"Postboks 7 Nydalen PIB";;;;0410;Oslo;Norge
39542;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
39543;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
26141;"Postboks 24";;;;5649;Eikelandsosen;Norge
26144;"Postboks 1583";;;;3007;Drammen;Norge
26191;"Postboks 4594 Nydalen";;;;0404;Oslo;Norge
26203;"Kirkegaten 50";;;;4400;Flekkefjord;Norge
26207;;;;;5947;Fedje;Norge
26211;Fylkeshuset;;;;9815;Vadsø;Norge
26222;"Postboks 185 Sentrum";;;;5804;Bergen;Norge
26226;"Postboks 54";;;;5591;Etne;Norge
26234;"Postboks 8743 Youngstorget";;;;0028;Oslo;Norge
26239;"Engene 1";;;;3008;Drammen;Norge
26232;"Henrik Ibsensgt 51";;;;0255;Oslo;Norge
32682;"Postboks 1168 Blindern";;;;0318;Oslo;Norge
32724;"Postboks 415";;;;1302;Sandvika;Norge
32727;"Postboks 2615";;;;7734;Steinkjer;Norge
32768;"Riverdalen 5";;;;6863;Leikanger;Norge
32821;"Postboks 1087";;;;3001;Drammen;Norge
32822;"Postboks 505, Sentrum";;;;3504;Hønefoss;Norge
32865;"C/Prat de la Creu 62-64";"AD-500 Andorra la Vella";;;;;Andorra
32866;"Box: 3199, 103 64 Stockholm";Sverige;;;;;
32867;"Government House 2";"Republic Square";;;;;Armenia
32868;"Dampfærgevej 26, 2. sal";"DK-2100 København Ø";;;;;Danmark
32881;"Postboks 5678 Sluppen";;;;7485;Trondheim;Norge
32901;"SE-114 49 Stockholm";;;;;;
32902;"30 Belgrave Square";"GB-London SW1X 8QB";;;;;"United Kingdom"
32903;"Anderstorpsvägen 12";"SE-171 54 Solna";;;;;Sverige
32904;"100 Avenue Franklin D. Roosevelt";"BE-1050 Brussels";;;;;Belgia
32905;"Herserudsvägen 5";"S-181 34 Lidingö";;;;;Sverige
32907;"Skelvej 2";"DK-2900 Hellerup";;;;;Danmark
44182;"Postboks 182";;;;1401;Ski;Norge
42622;"Nordalsveien 37";;;;6516;Kristiansund;Norge
42942;;;;;6924;Hardbakke;Norge
42943;"Postboks 355";;;;6783;Stryn;Norge
42944;"Postboks 184";;;;6882;"Øvre Årdal";Norge
44162;"Postboks 9336 Grønland";;;;0135;Oslo;Norge
41762;;;;;7898;Limingen;Norge
43722;"Kristian Augusts gate 9";;;;0164;Oslo;Norge
43723;"Fyrstikkalleen 20";;;;0661;Oslo;Norge
43724;"Norges Fotografforbund";"Rådhusgt. 20";;;0151;Oslo;Norge
43942;"Spillavhengighet - Norge, Drabeng";;;;9060;Lyngseidet;Norge
30968;"Postboks 505 Sentrum";;;;3504;Hønefoss;Norge
30969;"Rådhusvegen 20";;;;7101;Rissa;Norge
30970;"Postboks 55";;;;4951;Risør;Norge
30971;;;;;7740;Steinsdalen;Norge
30972;"Postboks 1087";;;;3001;Drammen;Norge
30973;"Postboks 10";;;;1640;Råde;Norge
30974;"Postboks 54";;;;1901;Fetsund;Norge
30975;;;;;8185;Vågaholmen;Norge
43042;"Pb 23 Bogerud";;;;0621;Oslo;Norge
30977;"Bergmannsgata 15";;;;7374;Røros;Norge
30978;;;;;8063;Værøy;Norge
30979;"Postboks 1087";;;;3007;Drammen;Norge
30980;Torget;;;;7870;Grong;Norge
30981;"Postboks 10";;;;1640;Råde;Norge
30982;;;;;9350;Sjøvegan;Norge
30983;"Postboks 23";;;;8250;Rognan;Norge
30984;"Steinsdalsvegen 104";;;;5600;Norheimsund;Norge
39683;"Postboks 694";;;;4305;Sandnes;Norge
39682;"Postboks 2461 Solheimsviken";;;;5824;Bergen;Norge
41982;"Diakonhjemmet sykehus";"Postboks 85, Vinderen";;;0319;Oslo;Norge
39842;"Postboks 3456";;;;9276;Tromsø;Norge
39863;"Postboks 2022";;;;3103;Tønsberg;Norge
39864;"Postboks 2440";;;;3104;Tønsberg;Norge
39865;"Serviceboks 1412";;;;1602;Fredrikstad;Norge
39866;"Postboks 2415";;;;3104;Tønsberg;Norge
39867;"Postboks 13";;;;6151;Ørsta;Norge
39868;"Postboks 14,";;;;4097;Sola;Norge
39869;;;;;8607;"Mo i Rana";Norge
40002;"Postboks 185 Sentrum,";;;;5804;Bergen;Norge
40004;"Postboks 185 Sentrum";;;;5804;Bergen;Norge
40005;"Postboks 185 Sentrum";;;;5804;Bergen;Norge
40006;"Postboks 185 Sentrum";;;;5804;Bergen;Norge
40007;"Postboks 185 Sentrum";;;;5804;Bergen;Norge
40145;"Postboks 180";;;;1601;Fredrikstad;Norge
40146;"Postboks 180";;;;1601;Fredrikstad;Norge
40147;"Postboks 180";;;;1601;Fredrikstad;Norge
40148;"Postboks 180";;;;1601;Fredrikstad;Norge
40149;"Postboks 180";;;;1601;Fredrikstad;Norge
40150;"Postboks 180";;;;1601;Fredrikstad;Norge
40203;"Postboks 2060";;;;6402;Molde;Norge
40209;"Postboks 2060";;;;6402;Molde;Norge
40224;"Postboks 2060";;;;6402;Molde;Norge
40642;"Postboks 4720 Sluppen";;;;7468;Trondheim;Norge
40643;"Postboks 4720 Sluppen";;;;7468;Trondheim;Norge
40882;"P.O. Box 113.7001, Hamra";"1103-2150 Beirut";;;;;Libanon
40883;"Palisády 29";"811 06 Bratislava";;;;;Slovakia
40902;"Postboks 43 Blindern";;;;0313;Oslo;Norge
40922;"12 Samal Microdistrict";"Astana Tower Business Centre";"Astana, 010000";;;;Kazakhstan
37142;"Postboks 8927 Youngstorget";"NO 0028 Oslo";;;;;
41185;"Postboks 119";;;;4001;Stavanger;Norge
41184;Sæbø;;;;5561;Bokn;Norge
41186;"Postboks 23";;;;4160;Finnøy;Norge
41187;"Rettedalen 11";;;;4330;Ålgård;Norge
41984;"Akershus universitetssykehus HF";;;;1478;Lørenskog;Norge
41985;"BUP Oslo Nord, Pb 4956 Nydalen";;;;0424;Oslo;Norge
40044;"Pb 2438 Sluppen";;;;7005;Trondheim;Norge
40045;"Postboks 83";;;;8502;Narvik;Norge
40046;"Postboks 8059 Dep";;;;0031;Oslo;Norge
40062;"Postboks 159 Sandviken";;;;5812;Bergen;Norge
21627;"Postboks 33";;;;5967;Eivindvik;Norge
43242;"Postboks 4";;;;9735;Karasjok;Norge
43522;"Akershus universitetssykehuv HFs";;;;1478;Lørenskog;Norge
43523;"Akershus universitetssykehus HF";;;;1478;Lørenskog;Norge
39482;"Postboks 53";;;;2675;Otta;Norge
40502;"Postboks 170";;;;2007;Kjeller;Norge
43542;;;;;8450;Stokmarknes;Norge
43543;"Postboks 1480";;;;8092;Bodø;Norge
43544;"Postboks 334";;;;8901;Brønnøysund;Norge
43545;;;;;8607;"Mo i Rana";Norge
43562;"Sykehusveien 28";;;;9613;Hammerfest;Norge
43563;"Postboks 410";;;;9915;Kirkenes;Norge
43568;"Postboks 263";;;;3901;Porsgrunn;Norge
43565;"Postboks 43";;;;9038;Tromsø;Norge
30985;"Postboks 1087";;;;3007;Drammen;Norge
30986;;;;;6092;Eggesbønes;Norge
30987;"Postboks 21";;;;3201;Sandefjord;Norge
30988;"Postboks 508";;;;4304;Sandnes;Norge
30989;Falkhytten;;;;6480;Aukra;Norge
26674;"Postboks 9200 Grønland";;;;0134;Oslo;Norge
26675;"Postboks 8131 Dep";;;;0033;Oslo;Norge
26684;"Postboks 4594 Nydalen";;;;0404;Oslo;Norge
26685;"Postboks 8048 Dep";;;;0031;Oslo;Norge
26689;"Postboks 4682 Nydalen";;;;0405;Oslo;Norge
26699;"Postboks 8129 Dep.";;;;0032;Oslo;Norge
26701;"Postboks 5364 Majorstua";;;;0304;Oslo;Norge
26709;"Postboks 439 Sentrum";;;;5805;Bergen;Norge
26713;"Postboks 8001 Dep";;;;0030;Oslo;Norge
26739;"Postboks 8021 Dep";;;;0030;Oslo;Norge
26752;"Magnus Lagabøtes plass 1";"N-5020 Bergen";;;;;
34841;"Postboks 599";;;;4003;Stavanger;Norge
25966;"Postboks 500";;;;6101;Volda;Norge
25968;"Postboks 2110";;;;6402;Molde;Norge
25995;Fillan;;;;7240;Hitra;Norge
25997;Kommunehuset;;;;4130;Hjelmeland;Norge
26000;"Viksveien 30";;;;3530;Røyse;Norge
26004;"Postboks 7900";;;;5020;Bergen;Norge
26010;;;;;2090;Hurdal;Norge
43142;"Postboks 1306";;;;8001;Bodø;Norge
40468;"Postboks 2412";;;;3104;Tønnsberg;Norge
40822;"P.O Box 5801";Asmara;;;;;Eritrea
43143;"Statens hus";;;;7734;Steinkjer;Norge
43144;"Postboks 253";;;;9951;Vardø;Norge
43145;"Posstboks 281";;;;3101;Tønsberg;Norge
43146;"Skippergata 31";;;;0154;Oslo;Norge
41283;"Postboks 40";;;;1300;Sandvika;Norge
41802;"Dyrmyrgata 47";;;;3611;Kongsberg;Norge
44302;"Drammensveien 102 H";;;;0273;Oslo;Norge
32915;"17-19 Chemin du Champ d`Anier";"CH-1209 Genève";;;;;Sveits
32916;"Store Kongensgade 81, 2. sal";"DK-1264 København";;;;;Danmark
32917;"Postboks 2407 Solli";;;;0201;Oslo;Norge
32918;"Box 26024";"S-100 41 Stockholm";;;;;Sverige
34141;"Postboks 4720 Sluppen";;;;7468;Trondheim;Norge
34642;"Kristian IV gate 85";;;;4614;Kristiansand;Norge
34643;"Postboks 510 Sentrum";;;;0105;OSLO;Norge
32919;"Ministry of Foreign Affairs";"Jalan Subok <Br> Bandar Seri Begawan";;;;;"BD-2710 Brunei Darussalam"
32920;"Svanemøllevej 20";"DK-2100 København Ø";;;;;Danmark
32921;"Berliner Strasse 36";"D-10785 Berlin";;;;;Tyskland
32922;"Schwindgasse 20/2";"A-1040 Wien";;;;;Østerrike
32923;"Oscars gate 34";;;;0258;Oslo;Norge
32941;"Box 5584";"SE-114 85 Stockholm";;;;;Sverige
32942;"Västra Trädgårdsgatan 11 A";"S-111 53";Stockholm;;;;Sverige
32943;"Gersonsvej 8";"DK-2900 Hellerup";;;;;Danmark
43567;"Postboks 234";;;;3672;Notodden;Norge
43569;Ulefossveien;;;;3710;Skien;Norge
