tailid,address1,address2,address3,address4,postalcode,city,country
41322,Postboks 2222,,,,5509,Haugesund,Norge
27441,Alfarveien 5 Rådhuset,,,,7300,Orkanger,Norge
20838,Stasjonsgt. 24,,,,3300,Hokksund,Norge
35170,Pb. 889,,,,9290,Tromsø,Norge
44142,Postboks 6211,,,,5983,Bergen,Norge
44202,Rukkedalsvegen 46,,,,3540,Nesbyen,Norge
44282,Postboks 323,,,,5323,Kleppestø,Norge
27888,Sydneshaugen 10,,,,5007,Bergen,Norge
27889,"UITØ, Breivika Senter",,,,9037,Tromsø,Norge
27901,Postboks 4763,,,,0506,Oslo,Norge
27935,"Serviceboks 737,Stoa",,,,4808,Arendal,Norge
27937,Postboks 8022 Dep,,,,0030,Oslo,Norge
27939,Postboks 2861 Kjørbekk,,,,3702,Skien,Norge
27940,Holthes vei 1,,,,4848,Arendal,Norge
27941,Postboks 1564,,,,4688,Kristiansand,Norge
27949,Postboks 744,,,,4666,Kristiansand S,Norge
24185,Postboks 1853 Stoa,,,,4858,Arendal,Norge
24511,Postboks 38,,,,4534,Marnardal,Norge
27982,Postboks 244 Sentrum,,,,0103,Oslo,Norge
24909,Gomsrudveien 130,,,,3601,Kongsberg,Norge
28041,Eivind Lysches vei 238,,,,1338,Sandvika,Norge
28052,Jernbanetorget 4 A,,,,0154,Oslo,Norge
28061,Postboks 324 Alnabru,,,,0614,Oslo,Norge
28062,Buskerudveien 126,,,,3027,Drammen,Norge
28063,Postboks 360,,,,9711,Lakselv,Norge
28065,Postboks 182,,,,6601,Sunndalsøra,Norge
26002,Postboks 312,,,,3081,Holmestrand,Norge
26003,Bakkavegen 1,,,,7380,Ålen,Norge
24755,Postboks 70,,,,6961,Dale i Sunnfjord,Norge
24756,Postboks 143,,,,5341,Straume,Norge
24758,Postboks 44,,,,7770,Flatanger,Norge
24759,Elvegaten 14,,,,4400,Flekkefjord,Norge
24761,Hans Blomgate 39,,,,6900,Florø,Norge
24762,,,,,3539,Flå,Norge
24763,,,,,2580,Folldal,Norge
24766,Postboks 1406,,,,1602,Fredrikstad,Norge
24768,Postboks 20,,,,1441,Drøbak,Norge
24769,Postboks 1853 Stoa,,,,4858,Arendal,Norge
24770,Postboks 63,,,,7633,Frosta,Norge
24773,,,,,2893,Etnedal,Norge
24774,Bedringens vei 2,,,,8534,Liland,Norge
24775,Postboks 1853 Stoa,,,,4858,Arendal,Norge
24777,Postboks 152,,,,7261,Sistranda,Norge
24778,Postboks 302 Alnabru,,,,0614,Oslo,Norge
21444,Postboks 104,,,,2381,Brumunddal,Norge
21449,Serviceboks 606,,,,4809,Arendal,Norge
21424,Postboks 90,,,,4401,Flekkefjord,Norge
21459,Kirkeveien 4,,,,9550,Øksfjord,Norge
21434,Postboks 68,,,,9790,Kjøllefjord,Norge
21468,,,,,8376,Leknes,Norge
21471,,,,,8430,Myre,Norge
21477,,,,,9350,Sjøvegan,Norge
21521,Postboks 224,,,,8151,Ørnes,Norge
21523,Postboks 23,,,,8250,Rognan,Norge
21526,,,,,8514,Narvik,Norge
21565,Postboks 174,,,,7651,Verdal,Norge
21534,Skei,,,,7994,Leka,Norge
21503,,,,,7970,Kolveried,Norge
21506,Postboks 53,,,,8641,Hemnesberget,Norge
21509,Postboks 570,,,,8651,Mosjøen,Norge
21514,,,,,8920,Sømna,Norge
21558,Øvergata 4,,,,7670,Inderøy,Norge
21567,Postboks 33,,,,6601,Sunndalsøra,Norge
21536,,,,,7740,Steinsdalen,Norge
21541,Havneveien 7,,,,7550,Hommelvik,Norge
21545,Postboks 94,,,,7341,Oppdal,Norge
21548,Rådhusvegen 20,,,,7101,Rissa,Norge
21552,Rådhusgate 6,,,,7129,Brekstad,Norge
24253,Postboks 2983 Sluppen,,,,7438,Trondheim,Norge
24269,Postboks 34,,,,8301,Svolvær,Norge
24296,Postboks 1043,,,,4682,Søgne,Norge
24304,,,,,9917,Kirkenes,Norge
24284,Postboks 54,,,,5371,Skogsvåg,Norge
24288,Bårdshaugvegen 1,,,,6650,Surnadal,Norge
24362,Postboks 2412,,,,3104,Tønsberg,Norge
24387,,,,,5650,Tysse,Norge
24389,Rådhuset,,,,6084,Larsnes,Norge
24397,Postboks 6310,,,,9293,Tromsø,Norge
24366,Postboks 8103,,,,4068,Stavanger,Norge
24384,Postboks 86,,,,9355,Sjøvegan,Norge
24414,Postboks 98,,,,3502,Hønefoss,Norge
24476,Nedregata 54,,,,2640,Vinstra,Norge
24481,Postboks 223,,,,9156,Storslett,Norge
24496,Postboks 8103,,,,4068,Stavanger,Norge
24521,Bergkrystallen 1,,,,3340,Åmot,Norge
24527,Postboks 124,,,,9691,Havøysund,Norge
24499,Jordeslykkja 6,,,,3540,Nesbyen,Norge
24471,,,,,6460,Eidsvåg i Romsdal,Norge
24504,Postboks 83,,,,6886,Lærdal,Norge
24510,Postboks 36,,,,1871,Ørje,Norge
23825,Postboks 96,,,,3191,Horten,Norge
23829,Postboks 2395,,,,3103,Tønsberg,Norge
23838,Sognefjordvegen 56,,,,6863,Leikanger,Norge
23818,Postboks 1583,,,,3007,Drammen,Norge
23822,"Postboks 2395, Postterminalen",,,,3103,Tønsberg,Norge
31034,Postboks 175,,,,6039,Langevåg,Norge
31035,Postboks 84,,,,4239,Sand,Norge
31036,Postboks 113,,,,5341,Straume,Norge
31038,Postboks 34,,,,6656,Surnadal,Norge
31039,Postboks 40,,,,5555,Førde,Norge
31040,Postboks 1087,,,,3007,Drammen,Norge
31041,Postboks 70,,,,6239,Sykkylven,Norge
31042,Postboks 5,,,,4684,Brennåsen,Norge
31043,,,,,8920,Sømna,Norge
31044,Postboks 10,,,,2867,Hov,Norge
31045,,,,,2930,Bagn,Norge
31046,Postboks 83,,,,8200,Fauske,Norge
31047,Nedregate 1,,,,2640,Vinstra,Norge
31048,Postboks 4,,,,2101,Skarnes,Norge
31049,Postboks 153,,,,9305,Finnsnes,Norge
31050,Postboks 130,,,,1921,Sørumsand,Norge
31051,Rådhussvingen 1,,,,9917,Kirkenes,Norge
31052,Postboks 127,,,,9845,Tana,Norge
31053,Postboks 158,,,,4340,Bryne,Norge
31054,Postboks 76,,,,6630,Tingvoll,Norge
31055,Postboks 47,,,,3701,Skien,Norge
31056,,,,,9440,Evenskjer,Norge
31057,Postboks 2073,,,,3103,Tønsberg,Norge
31058,Postboks 47,,,,3701,Skien,Norge
26771,Postboks 6768 St.Olavs plass,,,,0130,Oslo,Norge
26776,Postboks 133,,,,6851,Sogndal,Norge
26777,Klingenbergvegen 8,,,,5414,Stord,Norge
26778,Postboks 500,,,,6101,Volda,Norge
26779,NHH Helleveien 30,,,,5045,Bergen,Norge
33324,Lille Strandstræde 14B,DK-1254 København,,,,,Danmark
33325,Kommandantenstr. 80,D-10 117 Berlin,,,,,Tyskland
33326,"26-30, Bacho Kiro Str.,bl. 2",1000 Sofia,,,,,Bulgaria
33327,32/33 Elvaston Place,GB-London SW7 5NW,,,,,Storbritannia
33328,Svärdvägen 25 B,SE-182 33 Danderyd,,,,,Sverige
