aar,video_url,kommune,tittel,tema,hva_er_spesielt,folelse,antrekk,type_bygg_og_industri,type_historisk,type_natur_og_idrett,type_kunst_og_haandverk,type_idrett_og_fysisk_aktivitet,tema_samlere_entusiaster_og_oppfinnere,tema_vitenskap,relasjoner,type_musikere,type_mat,type_dyr,antall_menn,antall_kvinner,tema_natur_og_friluftsliv,tema_kjop_og_salg,type_landbruk_og_fiske,offentlige_tjenester_og_veldedighet,hovedperson1_kjonn,hovedperson2_kjonn,hovedperson3_kjonn,hovedperson1_alder,hovedperson2_alder,hovedperson3_alder,tema_politikk_og_media
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=7m8s,Ullensaker,Befalsopplæring for jenter,Offentlige tjenester og veldedighet,,,"Hjelm, Uniform",,,,,,,,,,,,1,30,,,,Forsvaret,Kvinne,Kvinne,,20 til 30,30 til 40,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=11m50s,Stryn,Om fremtidig helårsvei,Politikk og media,,,Slips,,,,,,,,,,,,1,,,,,,Mann,Mann,Mann,40 til 50,40 til 50,40 til 50,Samferdselspolitikk
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=16m40s,Ulvik,"Om snø, vær og togtrafikk",Ukategoriserbart,,,"Caps, Kjeledress, Slips, Uniform",,,,,,,,,,,,10,,,,,,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=21m3s,Sola,Bonde på Jæren,Landbruk og fiske,,,"Caps, Kjeledress",,,,,,,,,,,,4,,,,"Fjøs, Gårdsdrift, Kyr, Åker og jorder og nydyrking",,Mann,Mann,Mann,30 til 40,40 til 50,40 til 50,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=25m49s,Ukjent sted,Bladet spelemannslag,Musikk,Alder,Elsker,"Bunad, Caps",,,,,,,,,"Fele, Folkemusikk",,,20,20,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009277/19-03-1977#t=29m7s,Åmot,Birkebeinerrennet,Idrett og fysisk aktivitet,,,,,,,,Skisport,,,,,,,10,,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=1m59s,Ibestad,Skoleelever med egen fastegudstjeneste,Offentlige tjenester og veldedighet,,,"Slips, Strikkekofte, Uniform",,,,,,,,,,,,10,10,,,,"Kirke, Veldedighet, Skole, Veldedighet",Mann,Mann,,40 til 50,10 til 15,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=6m56s,Leikanger,Bygging av trebåter,Kunst og Håndverk,,,"Caps, Hatt, Skinnlue, Strikkekofte",,,,Båt,,,,,,,,10,2,,,,,Mann,Mann,Mann,50 til 60,50 til 60,20 til 30,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=14m59s,Porsgrunn,Mekanisk verksted,Kunst og Håndverk,Grunder,,"Hatt, Slips",,,,Verksted,,,,,,,,2,,,,,,Mann,,,70 til 80,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=19m59s,Lierne,Bruk av snøscooter,Natur og friluftsliv,,,Skinnlue,,,,,,,,,,,,,,,,,,Mann,Mann,,60 til 70,50 til 60,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=24m55s,Oslokommune,Bedre værvarsling,Offentlige tjenester og veldedighet,,,Slips,,,,,,,,,,,,4,,,,,Meteorologi,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=30m4s,Snillfjord,Slørdal: Hjort,Dyr,"Personlighet, Spesiell latter",Ler,Caps,,,,,,,,,,,"Hjort, Menneske hjelper dyr",1,,,,,,Mann,,,40 til 50,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009377/02-04-1977#t=32m28s,Ukjent sted,Odd Børretzen om nordmenn og påske,Ukategoriserbart,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=2m2s,Karasjok,Radio- og TV-forbindelser,Offentlige tjenester og veldedighet,,,"Samiske klær, Skinnlue",,,,,,,,,,,,2,2,,,,Post og tele,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=4m44s,Snillfjord,Slørdal: Dårlige TV-forhold,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,1,,,,,Post og tele,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=6m47s,Oslokommune,Studiosamtale om fjernsynsdekning,Offentlige tjenester og veldedighet,,,Slips,,,,,,,,,,,,1,,,,,Post og tele,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=9m10s,Vågan,Lofotfiske 1977,Landbruk og fiske,,,"Hatt, Skinnlue",,,,,,,,,,,,20,4,,,Fiskere,,Mann,Kvinne,Kvinne,50 til 60,50 til 60,5 til 10,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=14m10s,Ukjent sted,Jæren: Steingjerder,Landbruk og fiske,,,Caps,,,,,,,,,,,,2,,,,"Stein, Åker og jorder og nydyrking",,Mann,,,50 til 60,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=19m21s,Tranøy,Barnehagesituasjonen i Tranøy,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,10,10,,,,Skole og barnehage,Mann,Kvinne,Kvinne,50 til 60,40 til 50,20 til 30,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009477/16-04-1977#t=25m20s,Ringebu,Ringebufjellet: Fjellturister på selvbetjeningshytte,Natur og friluftsliv,,,Caps,,,,,,,,,,,,6,6,"Friluftsliv, Skitur, Turisme",,,,Mann,Kvinne,Kvinne,20 til 30,20 til 30,15 til 20,
