tailid;intcode;phone;phonecomment;type
21649;+47;51 48 97 50;;Telefon
21650;+47;02800;;Telefon
21650;+47;51 71 20 70;;Telefon
21651;+47;02800;;Telefon
21651;+47;51 75 44 80;;Telefon
21652;+47;02800;;Telefon
21652;+47;51 41 23 30;;Telefon
21653;+47;02800;;Telefon
21653;+47;51 72 29 00;;Telefon
21654;+47;02800;;Telefon
21654;+47;51 71 58 10;;Telefon
21655;+47;02800;;Telefon
21655;+47;51 74 32 80;;Telefon
21656;+47;02800;;Telefon
21656;+47;52 86 80 00;;Telefon
21657;+47;02800;;Telefon
21657;+47;52 85 64 00;;Telefon
21658;+47;02800;;Telefon
21658;+47;52 78 55 77;;Telefon
21660;+47;02800;;Telefon
21660;+47;52 78 98 98;;Telefon
21661;+47;02800;;Telefon
21661;+47;52 75 48 00;;Telefon
21662;+47;02800;;Telefon
21662;+47;53 76 63 00;;Telefon
21663;+47;02800;;Telefon
21663;+47;53 65 15 00;;Telefon
21664;+47;02800;;Telefon
21664;+47;53 65 15 00;;Telefon
21665;+47;02800;;Telefon
21665;+47;56 55 35 00;;Telefon
21666;+47;02800;;Telefon
21666;+47;53 65 15 00;;Telefon
21667;+47;02800;;Telefon
21667;+47;56 53 80 00;;Telefon
21668;+47;02800;;Telefon
21668;+47;51 89 90 00;;Telefon
21669;+47;02800;;Telefon
21669;+47;51 89 90 00;;Telefon
21670;+47;02800;;Telefon
21670;+47;51 89 90 00;;Telefon
21671;+47;02800;;Telefon
21671;+47;56 15 21 60;;Telefon
21672;+47;02800;;Telefon
21672;+47;56 18 12 50;;Telefon
21674;+47;02800;;Telefon
21674;+47;53 44 84 00;;Telefon
21675;+47;02800;;Telefon
21675;+47;53 75 86 00;;Telefon
21676;+47;02800;;Telefon
21676;+47;53 45 59 00;;Telefon
21677;+47;02800;;Telefon
21677;+47;35 90 64 00;;Telefon
21678;+47;02800;;Telefon
21678;+47;35 90 64 00;;Telefon
21679;+47;02800;;Telefon
21679;+47;35 90 64 00;;Telefon
21680;+47;02800;;Telefon
21680;+47;35 90 64 00;;Telefon
21681;+47;02800;;Telefon
21681;+47;38 13 60 00;;Telefon
21682;+47;02800;;Telefon
21682;+47;38 13 60 00;;Telefon
21683;+47;02800;;Telefon
21683;+47;37 14 98 00;;Telefon
21684;+47;02800;;Telefon
21684;+47;37 27 89 50;;Telefon
21685;+47;02800;;Telefon
21685;+47;37 23 51 50;;Telefon
21686;+47;02800;;Telefon
21686;+47;37 11 98 80;;Telefon
21687;+47;02800;;Telefon
21687;+47;37 26 86 60;;Telefon
21689;+47;02800;;Telefon
21689;+47;37 19 90 00;;Telefon
21690;+47;02800;;Telefon
21690;+47;37 16 85 00;;Telefon
21691;+47;02800;;Telefon
21691;+47;37 18 50 00;;Telefon
21692;+47;02800;;Telefon
21692;+47;38 13 60 00;;Telefon
21693;+47;02800;;Telefon
21693;+47;38 05 67 50;;Telefon
21694;+47;02800;;Telefon
21694;+47;38 08 84 00;;Telefon
21695;+47;02800;;Telefon
21695;+47;37 93 46 00;;Telefon
21696;+47;02800;;Telefon
21696;+47;37 92 91 80;;Telefon
21697;+47;02800;;Telefon
21697;+47;38 05 46 70;;Telefon
21698;+47;02800;;Telefon
21698;+47;37 93 69 00;;Telefon
21699;+47;02800;;Telefon
21699;+47;38 15 28 50;;Telefon
21700;+47;02800;;Telefon
21700;+47;38 13 60 00;;Telefon
21701;+47;02800;;Telefon
21701;+47;38 32 52 00;;Telefon
21702;+47;02800;;Telefon
21702;+47;38 39 58 00;;Telefon
21703;+47;02800;;Telefon
21703;+47;38 34 97 00;;Telefon
21704;+47;02800;;Telefon
21704;+47;35 90 64 00;;Telefon
21705;+47;02800;;Telefon
21705;+47;35 90 64 00;;Telefon
21706;+47;02800;;Telefon
21706;+47;38 35 84 70;;Telefon
21707;+47;02800;;Telefon
21707;+47;38 25 54 00;;Telefon
21708;+47;02800;;Telefon
21708;+47;38 34 26 50;;Telefon
21709;+47;02800;;Telefon
21709;+47;38 28 83 00;;Telefon
21710;+47;02800;;Telefon
21710;+47;38 37 98 00;;Telefon
21711;+47;02800;;Telefon
21711;+47;38 28 57 80;;Telefon
21712;+47;02800;;Telefon
21712;+47;32 76 28 80;;Telefon
21713;+47;02800;;Telefon
21713;+47;32 74 25 70;;Telefon
21714;+47;02800;;Telefon
21714;+47;32 74 89 80;;Telefon
21715;+47;02800;;Telefon
21715;+47;32 75 54 40;;Telefon
21718;+47;02800;;Telefon
21718;+47;33 34 44 00;;Telefon
21720;+47;02800;;Telefon
21720;+47;33 78 54 00;;Telefon
21721;+47;02800;;Telefon
21721;+47;33 78 39 00;;Telefon
21722;+47;02800;;Telefon
21722;+47;33 34 44 00;;Telefon
21723;+47;02800;;Telefon
21723;+47;33 34 44 00;;Telefon
21726;+47;02800;;Telefon
21726;+47;33 34 44 00;;Telefon
21727;+47;02800;;Telefon
21727;+47;33 34 44 00;;Telefon
21728;+47;02800;;Telefon
21728;+47;33 34 44 00;;Telefon
21730;+47;02800;;Telefon
21730;+47;33 34 44 00;;Telefon
21735;+47;02800;;Telefon
21735;+47;35 90 64 00;;Telefon
21736;+47;02800;;Telefon
21736;+47;35 90 64 00;;Telefon
21737;+47;02800;;Telefon
21737;+47;35 90 64 00;;Telefon
21738;+47;02800;;Telefon
21738;+47;35 90 64 00;;Telefon
21739;+47;02800;;Telefon
21739;+47;35 90 64 00;;Telefon
21740;+47;02800;;Telefon
21740;+47;35 90 64 00;;Telefon
21741;+47;02800;;Telefon
21741;+47;35 90 64 00;;Telefon
21742;+47;02800;;Telefon
21742;+47;35 90 64 00;;Telefon
21743;+47;02800;;Telefon
21743;+47;35 90 64 00;;Telefon
21744;+47;02800;;Telefon
21744;+47;35 90 64 00;;Telefon
21746;+47;02800;;Telefon
21746;+47;32 80 55 00;;Telefon
21748;+47;02800;;Telefon
21748;+47;61 12 18 20;;Telefon
21749;+47;02800;;Telefon
21749;+47;61 31 37 37;;Telefon
21750;+47;02800;;Telefon
21750;+47;61 31 53 00;;Telefon
21752;+47;02800;;Telefon
21752;+47;61 36 64 00;;Telefon
21753;+47;02800;;Telefon
21753;+47;61 11 26 50;;Telefon
21754;+47;02800;;Telefon
21754;+47;61 12 36 00;;Telefon
21755;+47;02800;;Telefon
21755;+47;61 34 89 50;;Telefon
21756;+47;02800;;Telefon
21756;+47;61 36 86 50;;Telefon
21758;+47;02800;;Telefon
21758;+47;61 34 59 00;;Telefon
21759;+47;02800;;Telefon
21759;+47;61 15 97 10;;Telefon
21760;+47;02800;;Telefon
21760;+47;61 16 24 00;;Telefon
21761;+47;02800;;Telefon
21761;+47;61 35 20 00;;Telefon
21763;+47;02800;;Telefon
21763;+47;32 05 35 20;;Telefon
21764;+47;02800;;Telefon
21764;+47;32 02 95 00;;Telefon
21764;+47;32 05 55 11;Hemsedal avdelingskontor;Telefon
21765;+47;02800;;Telefon
21765;+47;32 09 56 56;;Telefon
21767;+47;02800;;Telefon
21767;+47;32 14 84 80;;Telefon
21768;+47;02800;;Telefon
21768;+47;32 78 29 60;;Telefon
21769;+47;02800;;Telefon
21769;+47;32 07 26 50;;Telefon
21770;+47;02800;;Telefon
21770;+47;32 71 23 60;;Telefon
21773;+47;02800;;Telefon
21773;+47;32 08 61 00;;Telefon
21774;+47;02800;;Telefon
21774;+47;67 57 60 00;;Telefon
21777;+47;02800;;Telefon
21777;+47;32 80 55 00;;Telefon
21779;+47;02800;;Telefon
21779;+47;32 22 98 40;;Telefon
21780;+47;02800;;Telefon
21780;+47;32 27 45 00;;Telefon
21781;+47;02800;;Telefon
21781;+47;31 29 66 00;;Telefon
21782;+47;02800;;Telefon
21782;+47;61 15 13 00;;Telefon
21784;+47;02800;;Telefon
21784;+47;62 53 90 00;;Telefon
21785;+47;02800;;Telefon
21785;+47;62 53 90 00;;Telefon
21786;+47;02800;;Telefon
21786;+47;62 53 90 00;;Telefon
21787;+47;02800;;Telefon
21787;+47;62 53 90 00;;Telefon
21789;+47;02800;;Telefon
21789;+47;62 53 90 00;;Telefon
21790;+47;02800;;Telefon
21790;+47;62 53 90 00;;Telefon
21791;+47;02800;;Telefon
21791;+47;62 53 90 00;;Telefon
21792;+47;02800;;Telefon
21792;+47;62 53 90 00;;Telefon
21793;+47;02800;;Telefon
21793;+47;62 53 90 00;;Telefon
21794;+47;02800;;Telefon
21794;+47;62 53 90 00;;Telefon
21795;+47;02800;;Telefon
21795;+47;62 53 90 00;;Telefon
21796;+47;02800;;Telefon
21796;+47;62 53 90 00;;Telefon
21797;+47;02800;;Telefon
21797;+47;62 53 90 00;;Telefon
21798;+47;02800;;Telefon
21798;+47;62 53 90 00;;Telefon
21799;+47;02800;;Telefon
21799;+47;61 05 30 00;;Telefon
21800;+47;02800;;Telefon
21800;+47;61 05 32 10;;Telefon
21801;+47;02800;;Telefon
21801;+47;61 24 89 60;;Telefon
21802;+47;02800;;Telefon
21802;+47;61 21 50 70;;Telefon
21803;+47;02800;;Telefon
21803;+47;61 21 29 50;;Telefon
21805;+47;02800;;Telefon
21805;+47;61 23 55 00;;Telefon
21806;+47;02800;;Telefon
21806;+47;61 21 35 20;;Telefon
21807;+47;02800;;Telefon
21807;+47;61 23 86 40;;Telefon
21808;+47;02800;;Telefon
21808;+47;61 27 57 00;;Telefon
21809;+47;02800;;Telefon
21809;+47;63 99 68 40;;Telefon
21810;+47;02800;;Telefon
21810;+47;63 82 51 00;;Telefon
21811;+47;02800;;Telefon
21811;+47;63 92 90 00;;Telefon
21812;+47;02800;;Telefon
21812;+47;62 53 90 00;;Telefon
21813;+47;02800;;Telefon
21813;+47;62 53 90 00;;Telefon
21814;+47;02800;;Telefon
21814;+47;62 53 90 00;;Telefon
21816;+47;02800;;Telefon
21816;+47;62 53 90 00;;Telefon
21817;+47;02800;;Telefon
21817;+47;62 53 90 00;;Telefon
21818;+47;02800;;Telefon
21818;+47;69 30 25 00;;Telefon
21820;+47;02800;;Telefon
21820;+47;69 37 40 40;;Telefon
21823;+47;02800;;Telefon
21823;+47;69 20 55 00;;Telefon
21826;+47;02800;;Telefon
21826;+47;69 29 58 00;;Telefon
21830;+47;02800;;Telefon
21830;+47;64 85 16 00;;Telefon
21836;+47;02800;;Telefon
21836;+47;64 84 20 00;;Telefon
21837;+47;02 800;;Telefon
21837;+47;64 81 95 00;;Telefon
21838;+47;02800;;Telefon
21838;+47;63 85 41 10;;Telefon
21839;+47;02800;;Telefon
21839;+47;63 96 92 40;;Telefon
