byggnr,dato,aapent_fra,aapent_til,kommentar
1,2016-11-14,07:40,15:30,
1,2016-11-15,07:40,15:30,
1,2016-11-16,07:40,15:30,
1,2016-11-17,07:40,15:30,
1,2016-11-18,07:40,15:30,
1,2016-11-19,00:00,00:00,lørdag
1,2016-11-20,00:00,00:00,søndag
1,2016-11-21,07:40,15:30,
1,2016-11-22,07:40,15:30,
1,2016-11-23,07:40,15:30,
1,2016-11-24,07:40,15:30,
1,2016-11-25,07:40,15:30,
1,2016-11-26,00:00,00:00,lørdag
1,2016-11-27,00:00,00:00,søndag
1,2016-11-28,07:40,15:30,
1,2016-11-29,07:40,15:30,
1,2016-11-30,07:40,15:30,
1,2016-12-01,07:40,15:30,
1,2016-12-02,07:40,15:30,
1,2016-12-03,00:00,00:00,lørdag
1,2016-12-04,00:00,00:00,søndag
1,2016-12-05,07:40,15:30,
1,2016-12-06,07:40,15:30,
1,2016-12-07,07:40,15:30,
1,2016-12-08,07:40,15:30,
1,2016-12-09,07:40,15:30,
1,2016-12-10,00:00,00:00,lørdag
1,2016-12-11,00:00,00:00,søndag
1,2016-12-12,07:40,15:30,
1,2016-12-13,07:40,15:30,
1,2016-12-14,07:40,15:30,
1,2016-12-15,07:40,15:30,
1,2016-12-16,07:40,15:30,
1,2016-12-17,00:00,00:00,lørdag
1,2016-12-18,00:00,00:00,søndag
1,2016-12-19,07:40,15:30,
1,2016-12-20,07:40,15:30,
1,2016-12-21,07:40,15:30,
1,2016-12-22,07:40,15:30,
1,2016-12-23,07:40,15:30,
1,2016-12-24,00:00,00:00,lørdag
1,2016-12-25,00:00,00:00,søndag
1,2016-12-26,00:00,00:00,2. Juledag . Stengt
1,2016-12-27,07:40,15:30,
1,2016-12-28,07:40,15:30,
1,2016-12-29,07:40,15:30,
1,2016-12-30,07:40,15:30,
1,2016-12-31,00:00,00:00,lørdag
2,2016-01-01,00:00,00:00,1. Nyttårsdag. Stengt 
2,2016-01-02,00:00,00:00,lørdag
2,2016-01-03,00:00,00:00,søndag
2,2016-01-04,07:40,15:30,
2,2016-01-05,07:40,15:30,
2,2016-01-06,07:40,15:30,
2,2016-01-07,07:40,17:00,
2,2016-01-08,07:40,15:30,
2,2016-01-09,00:00,00:00,lørdag
2,2016-01-10,00:00,00:00,søndag
2,2016-01-11,07:40,15:30,
2,2016-01-12,07:40,15:30,
2,2016-01-13,07:40,15:30,
2,2016-01-14,07:40,17:00,
2,2016-01-15,07:40,15:30,
2,2016-01-16,00:00,00:00,lørdag
2,2016-01-17,00:00,00:00,søndag
2,2016-01-18,07:40,15:30,
2,2016-01-19,07:40,15:30,
2,2016-01-20,07:40,15:30,
2,2016-01-21,07:40,17:00,
2,2016-01-22,07:40,15:30,
2,2016-01-23,00:00,00:00,lørdag
2,2016-01-24,00:00,00:00,søndag
2,2016-01-25,07:40,15:30,
2,2016-01-26,07:40,15:30,
2,2016-01-27,07:40,15:30,
2,2016-01-28,07:40,17:00,
2,2016-01-29,07:40,15:30,
2,2016-01-30,00:00,00:00,lørdag
2,2016-01-31,00:00,00:00,søndag
2,2016-02-01,07:40,15:30,
2,2016-02-02,07:40,15:30,
2,2016-02-03,07:40,15:30,
2,2016-02-04,07:40,17:00,
2,2016-02-05,07:40,15:30,
2,2016-02-06,00:00,00:00,lørdag
2,2016-02-07,00:00,00:00,søndag
2,2016-02-08,07:40,15:30,
2,2016-02-09,07:40,15:30,
2,2016-02-10,07:40,15:30,
2,2016-02-11,07:40,17:00,
2,2016-02-12,07:40,15:30,
2,2016-02-13,00:00,00:00,lørdag
2,2016-02-14,00:00,00:00,søndag
2,2016-02-15,07:40,15:30,
2,2016-02-16,07:40,15:30,
2,2016-02-17,07:40,15:30,
2,2016-02-18,07:40,17:00,
2,2016-02-19,07:40,15:30,
2,2016-02-20,00:00,00:00,lørdag
2,2016-02-21,00:00,00:00,søndag
2,2016-02-22,07:40,15:30,
2,2016-02-23,07:40,15:30,
2,2016-02-24,07:40,15:30,
2,2016-02-25,07:40,17:00,
2,2016-02-26,07:40,15:30,
2,2016-02-27,00:00,00:00,lørdag
2,2016-02-28,00:00,00:00,søndag
2,2016-02-29,07:40,15:30,
2,2016-03-01,07:40,15:30,
2,2016-03-02,07:40,15:30,
2,2016-03-03,07:40,17:00,
2,2016-03-04,07:40,15:30,
2,2016-03-05,00:00,00:00,lørdag
2,2016-03-06,00:00,00:00,søndag
2,2016-03-07,07:40,15:30,
2,2016-03-08,07:40,15:30,
2,2016-03-09,07:40,15:30,
2,2016-03-10,07:40,17:00,
2,2016-03-11,07:40,15:30,
2,2016-03-12,00:00,00:00,lørdag
2,2016-03-13,00:00,00:00,søndag
2,2016-03-14,07:40,15:30,
2,2016-03-15,07:40,15:30,
2,2016-03-16,07:40,15:30,
2,2016-03-17,07:40,17:00,
2,2016-03-18,07:40,15:30,
